repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
commons-io,6e615bb8ca57d6dd62928fa134192cdef7c7b08e,1,2,3,4,0,0.0,1,1,20,57,,0,0
commons-io,29dc5ea043959aac66829275641e48b89e9b4be3,3,1,5,3,0,0.0,3,1,145,6,,0,0
commons-io,12453a3a65ff16a9f860b5465e78a2933195d03b,1,1,4,1,0,0.0,1,1,144,1,,0,0
commons-io,7bd05817d027627a85c73d68566fbcebf8b70670,6,4,29,1,1,0.0345,2,1,138,2,,0,0
commons-io,fe620a6a0466d54921cfe638db87e7d78eb21480,1,72,1,105,1,0.0095,1,5,2,2490,,0,0
commons-io,8247e9562e969128043d030b1cc555a1d0a150d6,2,6,1,6,0,0.0,1,4,31,133,,0,0
commons-io,872db158a2e806c649122ee47d33ee5fd97c5e59,1,4,1,3,0,0.0,1,1,4,29,,0,0
commons-io,41817d3cea3ae7ce675ef9129b03229d738f68f5,8,1,8,1,0,0.0,1,1,45,2,,0,0
commons-io,b507d7e60b3593288990dd9f570ab87bfcc65e17,1,2,9,2,1,0.1,1,1,46,10,,0,0
commons-io,e67946c81a55069dcd32dd588faa57dd1532455f,4,4,7,5,0,0.0,2,1,112,217,,0,0
commons-io,c3471687e0dd5065ad7ad3878a71fcf5a921c9a3,1,1,7,1,0,0.0,1,1,195,2,,0,0
commons-io,6921f87e35cfbd5d725011883b9d1c492f26b31d,2,3,0,1,0,0.0,1,1,0,2,,0,0
commons-io,9600e9afca238a447547f11cb9bf136ce0c5a663,1,3,2,4,2,0.5,1,1,2,9,,0,0
commons-io,266bcc4d5d0fbd230756539f93acd9fc5ddd2c5c,1,75,1,133,1,0.0075,1,5,2,2848,,0,0
commons-io,9ce4c8398bcddd0c7db96330162d470c5a4c061e,1,4,2,3,2,0.6667,1,3,4,11,,0,0
commons-io,b1842c0e0c5af94976ce6504c78e7ef6200abec9,1,1,3,3,0,0.0,1,1,125,6,,0,0
commons-io,f62bc91596d4fe9290ce022b0479cf1aaf5ef4f8,1,2,2,2,2,1.0,1,2,4,6,,0,0
commons-io,6b4e35dc7fa1993983d48f32cc7def314cb8d6c9,1,3,1,9,0,0.0,1,3,2,30,,0,0
commons-io,3ddd67183a6241ee628251bb60d37a7d304963e0,3,3,9,2,1,0.1,1,2,185,5,,0,0
commons-io,f8a80699363e4a1d749b0207d566f27b193a07cc,1,39,1,50,0,0.0,1,6,74,1310,,0,0
commons-io,750ec08f68fb45000d4f9c2592f43352bbb2e5f2,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,84628e28779d9b1f4d0b43d83c5056168085f096,1,1,1,2,0,0.0,1,1,40,4,,0,0
commons-io,c53cab56e5f078e2500970a01bdf1c7bf350fdaa,2,2,1,1,0,0.0,1,1,4,4,,0,0
commons-io,bc80b9ae48bc4e74781ef485e389f08fa5b788f1,2,1,1,2,1,0.5,1,1,2,4,,0,0
commons-io,42e76965c151d6c2be0fe3359c837e80bae9b3c2,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,81d825517ca90c2ef8a5e8d10ecf36ed95aad984,2,1,2,1,0,0.0,1,1,5,2,,0,0
commons-io,f9225c549de4f4c819bf9f925f04df3941f27f2c,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-io,92c5d8d36b1b37af85d9dcd214138b7f72cb2eb2,1,3,1,1,0,0.0,1,1,2,6,,0,0
commons-io,5e103b46a3ae581a1da7eaf3fced605aeea9c08d,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,c146a948b515bb0752047339afe0c94e4234c2a8,26,3,130,2,1,0.0076,2,1,14429,71,,0,0
commons-io,302c9d1ae9d44c677fc9f35cd9b3bfe2fe77bf08,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,c8130d72529c1b845c7f10aea7b6ef7fc2788c77,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-io,05176a75580307404fcd91ac380175daa9048fa2,48,2,79,1,1,0.0127,3,1,2759,2,,0,0
commons-io,eaf44e440db100c5222be7988ce4f14fb0aeb55c,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-io,369e45fe3b179bd44af9f19bc22187b3fa5a7fd3,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-io,b8690c086d18f38d86a06080422674d317e33f71,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-io,021879c4e8a80da4d814d6777d9dcbb215357e67,2,2,1,11,0,0.0,1,2,2,34,,0,0
commons-io,61d5459230d97432790585f3a738a804e7923119,1,1,1,1,0,0.0,1,1,5,2,,0,0
commons-io,2d7fef18c6ec90bd30d7e29a14a5967011a2fc4f,1,1,1,1,0,0.0,1,1,5,2,,0,0
commons-io,724125eff6608884b0ac1c59f62695ecf43e5c8a,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,d5bb4ec469995d9b3302397298fa3c59240b3019,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-io,77597df19476afa40244cb7d414a66971f817530,1,1,1,2,0,0.0,1,1,3,71,,0,0
commons-io,34ce9f0989e47daa9a7c821bbaaf84c138aa1117,2,1,1,3,1,0.3333,1,1,4,123,,0,0
commons-io,85737d13dae292040dd75293bfb6ee4a6b6c3f26,1,1,1,19,0,0.0,1,1,4,218,,0,0
commons-io,d3a51772915cff2b36aebf4622dd367ad60f6459,2,1,6,1,0,0.0,1,1,942,2,,0,0
commons-io,b803066005e1244932146aa904f05b420ca689a3,1,1,1,1,0,0.0,1,1,3,6,,0,0
commons-io,0fdef9fc5d5249a006712ba23829adb1f400a725,1,1,1,1,0,0.0,1,1,4,2,,0,0
commons-io,e64f29c6195fa036affbc3488aa28769742bb76e,1,3,1,2,0,0.0,1,2,36,7,,0,0
commons-io,01f92b184933bf8f333676f0b872cecb8e23466d,5,232,2,188,2,0.0106,1,11,9,7100,.travis.yml;pom.xml,0,1
commons-io,d59098202590aef21b614273c87b922c3cea51b1,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,7adaaca7002ac57031c4786ee5d3c1f98a2b4acf,1,1,1,1,0,0.0,1,1,16,2,,0,0
commons-io,c244009bedb5c0a018d5402d9241f0f1eac3ef84,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-io,93eada500cdfd4e3f44914e81c378814555fdb2b,52,1,51,1,0,0.0,2,1,1227,4,,0,0
commons-io,257d6f423ec5e3e15e136b72fd686c49208b1aa1,1,1,1,1,1,1.0,1,1,9,6,,0,0
commons-io,71bfef486b2e7713947e317ea843dc15f533a785,1,3,1,6,0,0.0,1,1,14,66,,0,0
commons-io,2bb2ab0b322e65bbd7b4d88c71c17e7b8465ffa7,3,1,3,1,0,0.0,1,1,6,2,,0,0
commons-io,dc1348ea72a83ca291309bd3aa79043e15304ced,4,1,3,1,0,0.0,1,1,82,2,,0,0
commons-io,761605b23c4dba3ad0e6df164a7941fa46ae6139,1,4,6,6,6,1.0,1,1,23,23,,0,0
commons-io,e85750d2f8bb9f28a4dc2b32b625e2dfdeb8c015,58,4,75,6,2,0.0253,7,1,1264,23,src/test/java/org/apache/commons/io/input/SequenceReaderTest.java,1,1
commons-io,76573da120a550720f17d9f1cd6fa7af98fb2fb1,1,2,1,2,0,0.0,1,1,6,4,,0,0
commons-io,2fd345578627290e3e6e713a1e1ea1b540f756f7,1,1,1,2,0,0.0,1,1,3,10,,0,0
commons-io,a9e8244e42a3c746c27db06544d027fb897fe17e,1,1,1,1,0,0.0,1,1,9,4,,0,0
commons-io,58b0f795b31482daa6bb5473a8b2c398e029f5fb,1,1,5,1,1,0.2,1,1,536,3,,0,0
commons-io,e5f5eac9e65620e4697b922e0f49b7bbdb90695e,1,1,1,1,0,0.0,1,1,86,40,,0,0
commons-io,cfb682e9da63f308d26e547bb7d0b350ef3eda42,2,2,2,0,0,0.0,1,1,41,0,,0,0
commons-io,748eef8b96068cadc45894967f58f015860afb1b,1,1,4,3,3,0.75,1,1,96,91,,0,0
commons-io,2c30851e4de51181b018a4e0d6605ee2c9776695,1,1,4,3,3,0.75,1,1,96,91,,0,0
commons-io,5e2ace28efe0476feb6a32794fe6b5e90e71eb7e,1,1,1,1,1,1.0,1,1,8,8,,0,0
commons-io,5f88079956ba7fc4551a5fc51dc28d82e33dc65f,49,2,207,2,2,0.0097,6,2,3858,6,src/changes/changes.xml,0,1
commons-io,958657f3c7cdf1f1d81a139b312c032020d582f0,2,3,2,22,1,0.0435,1,1,35,347,,0,0
commons-io,4f6b009a28ab7203260330bd93384ef5c07fd062,1,1,1,1,0,0.0,1,1,4,21,,0,0
commons-io,f00d97a6cea0a08c8112ffb8bd0b6847373899ae,1,10,1,15,0,0.0,1,2,2,269,,0,0
commons-io,703228a3d40881ea52faada723726b05f6d77b8a,29,1,144,2,2,0.0139,4,1,1864,6,,0,0
commons-collections,c23b20d0842d5a18f312b7417444058c27abd966,4,1,4,5,2,0.2857,1,1,149,71,src/main/java/org/apache/commons/collections4/multiset/AbstractMapMultiSet.java,1,1
commons-collections,e9d0c275f93cd7c72eb7a24e809a4d40e874a8b5,1,1,1,2,0,0.0,1,1,1,30,,0,0
commons-collections,0cf09633b39e81c0e0a3c8d69bff2f7005169e14,1,1,1,2,1,0.5,1,1,2,8,,0,0
commons-collections,2228018be1d88154be329327e295558e197e5cb4,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-collections,a056026a26ef4e5cba6ccffa47fea0ee499fda4b,2,2,2,2,0,0.0,1,2,15,8,,0,0
commons-collections,c6305c49740b118d8ca40a8bae53ef0211424f48,1,2,4,1,0,0.0,1,2,15,2,,0,0
commons-collections,3a22be2c1c2c92354b10874bfae8c4b46fdaaec2,1,5,1,6,0,0.0,1,2,4,361,,0,0
commons-collections,3322769985ed472a9f7927e019113ef3755d1d1a,1,1,3,1,0,0.0,1,1,30,2,,0,0
commons-collections,d9d94e4631c7bd1149b9950feb0c7e629731659b,1,2,8,4,0,0.0,1,1,54,16,,0,0
commons-collections,20a877f04ab1864dda210d26d9a2745e85fc3e8e,2,2,3,2,0,0.0,1,2,17,4,,0,0
commons-collections,956eb47745e740b39186c706ba86dba58b3a6441,1,1,1,1,0,0.0,1,1,19,2,,0,0
commons-collections,7e96acbf58d692ecd3819e506fab863cbae5d44e,1,2,6,2,0,0.0,1,1,14,10,,0,0
